# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	1.00030245e+00	(1.96867370e+00 7.73309085e-03 5.00000000e-01)	899
2               	1.00058268e+00	(1.96867370e+00 5.55994611e-02 5.00000000e-01)	3699
3               	1.00091142e+00	(1.73261832e+00 3.33147911e-02 5.00000000e-01)	2695
4               	1.00124194e+00	(1.17399414e+00 1.10190469e-02 5.00000000e-01)	1183
5               	1.00151127e+00	(1.13596202e+00 8.79263643e-03 5.00000000e-01)	982
6               	1.00172916e+00	(1.09906352e+00 8.79263643e-03 5.00000000e-01)	981
7               	1.00195660e+00	(1.38241599e+00 1.10190469e-02 5.00000000e-01)	1188
8               	1.00219709e+00	(1.52347354e+00 1.10190470e-02 5.00000000e-01)	1191
9               	1.00243067e+00	(1.62488254e+00 1.21883140e-02 5.00000000e-01)	1293
10              	1.00264704e+00	(1.73261832e+00 1.21883140e-02 5.00000000e-01)	1295
11              	1.00284044e+00	(1.78898115e+00 1.33966242e-02 5.00000000e-01)	1396
12              	1.00300343e+00	(1.78898115e+00 1.46452811e-02 5.00000000e-01)	1496
13              	1.00313785e+00	(1.90695483e+00 1.46452811e-02 5.00000000e-01)	1498
14              	1.00324713e+00	(1.90695483e+00 1.59356319e-02 5.00000000e-01)	1598
15              	1.00332253e+00	(1.90695483e+00 1.72690689e-02 5.00000000e-01)	1698
16              	1.00339319e+00	(1.90695483e+00 3.14628829e-02 5.00000000e-01)	2598
17              	1.00345489e+00	(1.90695483e+00 3.33147911e-02 5.00000000e-01)	2698
18              	1.00352569e+00	(1.90695483e+00 3.72061836e-02 5.00000000e-01)	2898
19              	1.00359348e+00	(1.90695483e+00 3.92498666e-02 5.00000000e-01)	2998
20              	1.00367493e+00	(1.96867370e+00 7.29385835e-02 5.00000000e-01)	4299
21              	1.00375479e+00	(1.96867370e+00 7.61754087e-02 5.00000000e-01)	4399
22              	1.00381801e+00	(1.96867370e+00 7.61754087e-02 5.00000000e-01)	4399
23              	1.00386419e+00	(1.96867370e+00 7.95203148e-02 5.00000000e-01)	4499
24              	1.00389318e+00	(1.96867370e+00 7.95203148e-02 5.00000000e-01)	4499
25              	1.00390718e+00	(1.96867370e+00 7.95203148e-02 5.00000000e-01)	4499
26              	1.00390972e+00	(1.96867370e+00 8.29769108e-02 5.00000000e-01)	4599
27              	1.00390371e+00	(1.96867370e+00 8.29769108e-02 5.00000000e-01)	4599
28              	1.00389282e+00	(1.96867370e+00 8.65489262e-02 5.00000000e-01)	4699
29              	1.00388008e+00	(1.96867370e+00 8.65489262e-02 5.00000000e-01)	4699
30              	1.00386795e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
31              	1.00385816e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
32              	1.00385115e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
33              	1.00384665e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
34              	1.00384361e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
35              	1.00384114e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
36              	1.00383847e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
37              	1.00383532e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
38              	1.00383101e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
39              	1.00382559e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
40              	1.00381916e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
41              	1.00381177e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
42              	1.00380358e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
43              	1.00379465e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
44              	1.00378518e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
45              	1.00377534e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
46              	1.00376528e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
47              	1.00375522e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
48              	1.00374535e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
49              	1.00373567e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
50              	1.00372622e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
51              	1.00371712e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
52              	1.00370839e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
53              	1.00370022e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
54              	1.00369256e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
55              	1.00368541e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
56              	1.00367874e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
57              	1.00367250e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
58              	1.00366668e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
59              	1.00366123e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
60              	1.00365616e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
61              	1.00365150e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
62              	1.00364727e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
63              	1.00364342e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
64              	1.00363991e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
65              	1.00363673e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
66              	1.00363385e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
67              	1.00363124e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
68              	1.00362891e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
69              	1.00362686e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
70              	1.00362510e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
71              	1.00362362e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
72              	1.00362237e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
73              	1.00362136e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
74              	1.00362054e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
75              	1.00361987e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
76              	1.00361932e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
77              	1.00361886e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
78              	1.00361846e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
79              	1.00361810e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
80              	1.00361777e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
81              	1.00361746e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
82              	1.00361716e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
83              	1.00361688e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
84              	1.00361661e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
85              	1.00361638e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
86              	1.00361618e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
87              	1.00361601e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
88              	1.00361588e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
89              	1.00361580e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
90              	1.00361576e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
91              	1.00361576e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
92              	1.00361580e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
93              	1.00361588e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
94              	1.00361599e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
95              	1.00361613e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
96              	1.00361630e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
97              	1.00361647e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
98              	1.00361666e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
99              	1.00361685e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
100             	1.00361704e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
101             	1.00361722e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
102             	1.00361739e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
103             	1.00361755e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
104             	1.00361770e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
105             	1.00361783e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
106             	1.00361795e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
107             	1.00361805e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
108             	1.00361814e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
109             	1.00361821e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
110             	1.00361828e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
111             	1.00361833e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
112             	1.00361838e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
113             	1.00361841e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
114             	1.00361844e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
115             	1.00361847e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
116             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
117             	1.00361850e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
118             	1.00361850e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
119             	1.00361851e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
120             	1.00361851e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
121             	1.00361851e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
122             	1.00361851e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
123             	1.00361851e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
124             	1.00361851e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
125             	1.00361851e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
126             	1.00361850e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
127             	1.00361850e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
128             	1.00361850e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
129             	1.00361850e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
130             	1.00361850e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
131             	1.00361850e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
132             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
133             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
134             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
135             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
136             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
137             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
138             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
139             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
140             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
141             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
142             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
143             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
144             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
145             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
146             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
147             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
148             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
149             	1.00361849e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
150             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
151             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
152             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
153             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
154             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
155             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
156             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
157             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
158             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
159             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
160             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
161             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
162             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
163             	1.00361848e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
164             	1.00361847e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
165             	1.00361847e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
166             	1.00361847e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
167             	1.00361847e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
168             	1.00361847e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
169             	1.00361847e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
170             	1.00361846e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
171             	1.00361846e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
172             	1.00361846e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
173             	1.00361846e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
174             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
175             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
176             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
177             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
178             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
179             	1.00361844e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
180             	1.00361844e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
181             	1.00361844e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
182             	1.00361844e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
183             	1.00361844e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
184             	1.00361844e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
185             	1.00361844e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
186             	1.00361844e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
187             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
188             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
189             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
190             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
191             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
192             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
193             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
194             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
195             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
196             	1.00361845e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
197             	1.00361846e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
198             	1.00361846e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
199             	1.00361846e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
200             	1.00361846e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
201             	1.00361846e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
