# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	7.96459039e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
2               	5.59732667e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
3               	3.45052430e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
4               	2.68422957e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
5               	2.65329935e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
6               	3.07528917e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
7               	3.31715064e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
8               	3.51171264e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
9               	3.68987462e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
10              	3.85566282e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
11              	3.99364254e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
12              	4.11733551e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
13              	4.22627006e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
14              	4.32191162e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
15              	4.40873665e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
16              	4.48687593e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
17              	4.55771023e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
18              	4.62169171e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
19              	4.68038137e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
20              	4.73509940e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
21              	4.78635748e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
22              	4.83479530e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
23              	4.88076352e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
24              	4.92438824e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
25              	4.96553911e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
26              	5.00410641e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
27              	5.04010738e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
28              	5.07359165e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
29              	5.10465732e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
30              	5.13332358e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
31              	5.15971395e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
32              	5.18400080e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
33              	5.20638182e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
34              	5.22702712e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
35              	5.24609574e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
36              	5.26375410e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
37              	5.28015976e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
38              	5.29545546e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
39              	5.30975167e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
40              	5.32314037e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
41              	5.33569820e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
42              	5.34748993e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
43              	5.35857042e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
44              	5.36898487e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
45              	5.37876862e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
46              	5.38795121e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
47              	5.39655678e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
48              	5.40460609e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
49              	5.41211935e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
50              	5.41911587e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
51              	5.42561522e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
52              	5.43163735e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
53              	5.43720252e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
54              	5.44233161e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
55              	5.44704527e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
56              	5.45136497e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
57              	5.45531205e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
58              	5.45890833e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
59              	5.46217546e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
60              	5.46513530e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
